,place_name,place_location,place_feature,place_star,operating_time
63,하모해수욕장 주차장,제주특별자치도 서귀포시 대정읍 하모리 276,주차장,,
64,금능해수욕장 주차장 전기차충전소,제주특별자치도 제주시 한림읍 금능리 2018,전기자동차 충전소,,
65,비자림,제주특별자치도 제주시 구좌읍 비자숲길 55 ,자연휴양림,,09:00 ~ 18:00
66,서귀포자연휴양림,제주특별자치도 서귀포시 하원동 산 1-1,자연휴양림,,09:00 ~ 18:00
67,절물자연휴양림,제주특별자치도 제주시 명림로 584 ,자연휴양림,,07:00 ~ 18:00
68,붉은오름자연휴양림,제주특별자치도 서귀포시 표선면 남조로 1487-73 ,자연휴양림,,09:00 ~ 17:00
69,교래자연휴양림,제주특별자치도 제주시 조천읍 남조로 2023 ,자연휴양림,,09:00 ~ 18:00
70,설록다원도순,제주특별자치도 서귀포시 중산간서로356번길 152-41 ,관광농원,4.0점,
71,서귀다원,제주특별자치도 서귀포시 516로 717 ,관광농원,,09:00 ~ 17:00
72,녹차동굴,제주특별자치도 서귀포시 표선면 성읍리 2192,동굴,4.8점,
73,올레길 14-1코스(저지-서광 올레),제주특별자치도 제주시 한경면 저지리 1792-3,제주올레길,4.7점,
74,항파두리 항몽유적지,제주특별자치도 제주시 애월읍 항파두리로 50 ,유적지,3.9점,09:00 ~ 18:00
75,국립제주박물관,제주특별자치도 제주시 일주동로 17 ,박물관,,
76,오설록티뮤지엄,제주특별자치도 서귀포시 안덕면 신화역사로 15 ,박물관,,09:00 ~ 18:00
77,세계자동차&피아노박물관,제주특별자치도 서귀포시 안덕면 중산간서로 1610 ,박물관,,09:00 ~ 18:00
78,제주항공우주박물관,제주특별자치도 서귀포시 안덕면 녹차분재로 218 ,박물관,,09:00 ~ 18:00
79,박물관은살아있다 제주중문점,제주특별자치도 서귀포시 중문관광로 42 ,박물관,,10:00 ~ 19:00
80,제주해양동물박물관,제주특별자치도 서귀포시 성산읍 서성일로 689-21 ,박물관,,09:00 ~ 18:00
81,그리스신화박물관,제주특별자치도 제주시 한림읍 광산로 942 ,박물관,,09:00 ~ 18:00
82,초콜릿박물관,제주특별자치도 서귀포시 대정읍 일주서로3000번길 144 대정농공단지 내 ,박물관,,10:30 ~ 17:00
83,제주 세계자연유산센터,제주특별자치도 제주시 조천읍 선교로 569-36 ,박물관,,09:00 ~ 18:00
